user;repository;file;lastIndexed;
https://github.com/kgryte;https://github.com/kgryte/gists;https://github.com/kgryte/gists/blob/228b666664dea0f8785a9d967c52ff0b2d8f2acb/d3/maps/places/data/data.geojson;2015-05-30T20:43:20Z;
https://github.com/straup;https://github.com/straup/whereonearth-airport;https://github.com/straup/whereonearth-airport/blob/c6885c9c83073bd081025d9652ab73e105c372b3/data/125/105/84/12510584.geojson;2015-05-28T14:18:58Z;
https://github.com/guinea-ebov;https://github.com/guinea-ebov/guinea-ebov.github.io;https://github.com/guinea-ebov/guinea-ebov.github.io/blob/2b64df9d7fe50cd9dd66ba059bca0bd68d916dd3/code/data/last_21d_daily.geojson;2015-09-02T14:42:04Z;
https://github.com/whosonfirst;https://github.com/whosonfirst/whosonfirst-data;https://github.com/whosonfirst/whosonfirst-data/blob/09f49ff8000c9611cb84ab07923749a66be72301/data/857/965/47/85796547.geojson;2015-09-01T21:51:18Z;
https://github.com/straup;https://github.com/straup/whereonearth-airport;https://github.com/straup/whereonearth-airport/blob/c6885c9c83073bd081025d9652ab73e105c372b3/data/125/105/09/12510509.geojson;2015-05-28T14:18:58Z;
https://github.com/straup;https://github.com/straup/whereonearth-airport;https://github.com/straup/whereonearth-airport/blob/c6885c9c83073bd081025d9652ab73e105c372b3/data/125/112/61/12511261.geojson;2015-05-28T14:19:01Z;
https://github.com/straup;https://github.com/straup/whereonearth-airport;https://github.com/straup/whereonearth-airport/blob/c6885c9c83073bd081025d9652ab73e105c372b3/data/125/109/37/12510937.geojson;2015-05-28T14:19:00Z;
https://github.com/straup;https://github.com/straup/whereonearth-airport;https://github.com/straup/whereonearth-airport/blob/c6885c9c83073bd081025d9652ab73e105c372b3/data/125/106/89/12510689.geojson;2015-05-28T14:18:59Z;
https://github.com/geoiq;https://github.com/geoiq/gc_data;https://github.com/geoiq/gc_data/blob/8ef3395b0550638286857d361d2f7a8ad3fb9672/datasets/210672.geojson;2015-08-31T00:48:30Z;
https://github.com/cinkonaap;https://github.com/cinkonaap/nosql;https://github.com/cinkonaap/nosql/blob/633fd5b881d222e7a233d05ec2a443698159b273/zad1/geoQ3.geojson;2015-06-03T19:09:28Z;
https://github.com/josacord92;https://github.com/josacord92/Tarea10SIGJoseCarlosAlvarezUmana200967010;https://github.com/josacord92/Tarea10SIGJoseCarlosAlvarezUmana200967010/blob/135cad6a92f0bf9acff7a9a24e941042c74bd367/SigTarea10/Restaurantes.geojson;2015-06-02T04:56:53Z;
https://github.com/andrewvolokitin;https://github.com/andrewvolokitin/mountainwave;https://github.com/andrewvolokitin/mountainwave/blob/3285fe028ef78fb7bca74487e0f3a2fd92d4db4b/lakes.geojson;2015-08-12T03:06:11Z;
https://github.com/hofstra;https://github.com/hofstra/itinerary;https://github.com/hofstra/itinerary/blob/7f9d0dd2c18eedbb3db3ab350bd995beea538ec1/_source/geojson/parish-29.geojson;2015-06-04T01:05:12Z;
https://github.com/whosonfirst;https://github.com/whosonfirst/whosonfirst-data;https://github.com/whosonfirst/whosonfirst-data/blob/09f49ff8000c9611cb84ab07923749a66be72301/data/857/995/17/85799517.geojson;2015-09-01T21:51:21Z;
https://github.com/whosonfirst;https://github.com/whosonfirst/whosonfirst-data;https://github.com/whosonfirst/whosonfirst-data/blob/09f49ff8000c9611cb84ab07923749a66be72301/data/857/996/39/85799639.geojson;2015-09-01T21:51:21Z;
https://github.com/straup;https://github.com/straup/whereonearth-airport;https://github.com/straup/whereonearth-airport/blob/c6885c9c83073bd081025d9652ab73e105c372b3/data/125/104/75/12510475.geojson;2015-05-28T14:18:58Z;
